transaction_id,Date,customer_id,Gender,Age,product_category,Quantity,price_per_unit,total_amount,season
1,"2023-11-24 00:00:00",CUST001,Male,34,Beauty,3,50,150,NULL
2,"2023-02-27 00:00:00",CUST002,Female,26,Clothing,2,500,1000,NULL
3,"2023-01-13 00:00:00",CUST003,Male,50,Electronics,1,30,30,NULL
4,"2023-05-21 00:00:00",CUST004,Male,37,Clothing,1,500,500,NULL
5,"2023-05-06 00:00:00",CUST005,Male,30,Beauty,2,50,100,NULL
6,"2023-04-25 00:00:00",CUST006,Female,45,Beauty,1,30,30,NULL
7,"2023-03-13 00:00:00",CUST007,Male,46,Clothing,2,25,50,NULL
8,"2023-02-22 00:00:00",CUST008,Male,30,Electronics,4,25,100,NULL
9,"2023-12-13 00:00:00",CUST009,Male,63,Electronics,2,300,600,NULL
10,"2023-10-07 00:00:00",CUST010,Female,52,Clothing,4,50,200,NULL
11,"2023-02-14 00:00:00",CUST011,Male,23,Clothing,2,50,100,NULL
12,"2023-10-30 00:00:00",CUST012,Male,35,Beauty,3,25,75,NULL
13,"2023-08-05 00:00:00",CUST013,Male,22,Electronics,3,500,1500,NULL
14,"2023-01-17 00:00:00",CUST014,Male,64,Clothing,4,30,120,NULL
15,"2023-01-16 00:00:00",CUST015,Female,42,Electronics,4,500,2000,NULL
16,"2023-02-17 00:00:00",CUST016,Male,19,Clothing,3,500,1500,NULL
17,"2023-04-22 00:00:00",CUST017,Female,27,Clothing,4,25,100,NULL
18,"2023-04-30 00:00:00",CUST018,Female,47,Electronics,2,25,50,NULL
19,"2023-09-16 00:00:00",CUST019,Female,62,Clothing,2,25,50,NULL
20,"2023-11-05 00:00:00",CUST020,Male,22,Clothing,3,300,900,NULL
21,"2023-01-14 00:00:00",CUST021,Female,50,Beauty,1,500,500,NULL
22,"2023-10-15 00:00:00",CUST022,Male,18,Clothing,2,50,100,NULL
23,"2023-04-12 00:00:00",CUST023,Female,35,Clothing,4,30,120,NULL
24,"2023-11-29 00:00:00",CUST024,Female,49,Clothing,1,300,300,NULL
25,"2023-12-26 00:00:00",CUST025,Female,64,Beauty,1,50,50,NULL
26,"2023-10-07 00:00:00",CUST026,Female,28,Electronics,2,500,1000,NULL
27,"2023-08-03 00:00:00",CUST027,Female,38,Beauty,2,25,50,NULL
28,"2023-04-23 00:00:00",CUST028,Female,43,Beauty,1,500,500,NULL
29,"2023-08-18 00:00:00",CUST029,Female,42,Electronics,1,30,30,NULL
30,"2023-10-29 00:00:00",CUST030,Female,39,Beauty,3,300,900,NULL
31,"2023-05-23 00:00:00",CUST031,Male,44,Electronics,4,300,1200,NULL
32,"2023-01-04 00:00:00",CUST032,Male,30,Beauty,3,30,90,NULL
33,"2023-03-23 00:00:00",CUST033,Female,50,Electronics,2,50,100,NULL
34,"2023-12-24 00:00:00",CUST034,Female,51,Clothing,3,50,150,NULL
35,"2023-08-05 00:00:00",CUST035,Female,58,Beauty,3,300,900,NULL
36,"2023-06-24 00:00:00",CUST036,Male,52,Beauty,3,300,900,NULL
37,"2023-05-23 00:00:00",CUST037,Female,18,Beauty,3,25,75,NULL
38,"2023-03-21 00:00:00",CUST038,Male,38,Beauty,4,50,200,NULL
39,"2023-04-21 00:00:00",CUST039,Male,23,Clothing,4,30,120,NULL
40,"2023-06-22 00:00:00",CUST040,Male,45,Beauty,1,50,50,NULL
41,"2023-02-22 00:00:00",CUST041,Male,34,Clothing,2,25,50,NULL
42,"2023-02-17 00:00:00",CUST042,Male,22,Clothing,3,300,900,NULL
43,"2023-07-14 00:00:00",CUST043,Female,48,Clothing,1,300,300,NULL
44,"2023-02-19 00:00:00",CUST044,Female,22,Clothing,1,25,25,NULL
45,"2023-07-03 00:00:00",CUST045,Female,55,Electronics,1,30,30,NULL
46,"2023-06-26 00:00:00",CUST046,Female,20,Electronics,4,300,1200,NULL
47,"2023-11-06 00:00:00",CUST047,Female,40,Beauty,3,500,1500,NULL
48,"2023-05-16 00:00:00",CUST048,Male,54,Electronics,3,300,900,NULL
49,"2023-01-23 00:00:00",CUST049,Female,54,Electronics,2,500,1000,NULL
50,"2023-08-24 00:00:00",CUST050,Female,27,Beauty,3,25,75,NULL
51,"2023-10-02 00:00:00",CUST051,Male,27,Beauty,3,25,75,NULL
52,"2023-03-05 00:00:00",CUST052,Female,36,Beauty,1,300,300,NULL
53,"2023-07-13 00:00:00",CUST053,Male,34,Electronics,2,50,100,NULL
54,"2023-02-10 00:00:00",CUST054,Female,38,Electronics,3,500,1500,NULL
55,"2023-10-10 00:00:00",CUST055,Male,31,Beauty,4,30,120,NULL
56,"2023-05-31 00:00:00",CUST056,Female,26,Clothing,3,300,900,NULL
57,"2023-11-18 00:00:00",CUST057,Female,63,Beauty,1,30,30,NULL
58,"2023-11-13 00:00:00",CUST058,Male,18,Clothing,4,300,1200,NULL
59,"2023-07-05 00:00:00",CUST059,Male,62,Clothing,1,50,50,NULL
60,"2023-10-23 00:00:00",CUST060,Male,30,Beauty,3,50,150,NULL
61,"2023-04-09 00:00:00",CUST061,Male,21,Beauty,4,50,200,NULL
62,"2023-12-27 00:00:00",CUST062,Male,18,Beauty,2,50,100,NULL
63,"2023-02-05 00:00:00",CUST063,Male,57,Electronics,2,25,50,NULL
64,"2023-01-24 00:00:00",CUST064,Male,49,Clothing,4,25,100,NULL
65,"2023-12-05 00:00:00",CUST065,Male,51,Electronics,4,500,2000,NULL
66,"2023-04-27 00:00:00",CUST066,Female,45,Electronics,1,30,30,NULL
67,"2023-05-29 00:00:00",CUST067,Female,48,Beauty,4,300,1200,NULL
68,"2023-02-10 00:00:00",CUST068,Male,25,Electronics,1,300,300,NULL
69,"2023-04-30 00:00:00",CUST069,Female,56,Beauty,3,25,75,NULL
70,"2023-02-21 00:00:00",CUST070,Female,43,Clothing,1,300,300,NULL
71,"2023-07-14 00:00:00",CUST071,Female,51,Beauty,4,25,100,NULL
72,"2023-05-23 00:00:00",CUST072,Female,20,Electronics,4,500,2000,NULL
73,"2023-08-21 00:00:00",CUST073,Male,29,Electronics,3,30,90,NULL
74,"2023-11-22 00:00:00",CUST074,Female,18,Beauty,4,500,2000,NULL
75,"2023-07-06 00:00:00",CUST075,Male,61,Beauty,4,50,200,NULL
76,"2023-03-25 00:00:00",CUST076,Female,22,Electronics,2,50,100,NULL
77,"2023-07-09 00:00:00",CUST077,Female,47,Clothing,2,50,100,NULL
78,"2023-07-01 00:00:00",CUST078,Female,47,Clothing,3,500,1500,NULL
79,"2023-04-18 00:00:00",CUST079,Male,34,Beauty,1,300,300,NULL
80,"2023-12-10 00:00:00",CUST080,Female,64,Clothing,2,30,60,NULL
81,"2023-05-17 00:00:00",CUST081,Male,40,Electronics,1,50,50,NULL
82,"2023-12-26 00:00:00",CUST082,Female,32,Beauty,4,50,200,NULL
83,"2023-12-16 00:00:00",CUST083,Male,54,Electronics,2,50,100,NULL
84,"2023-11-28 00:00:00",CUST084,Female,38,Electronics,3,30,90,NULL
85,"2023-02-06 00:00:00",CUST085,Male,31,Clothing,3,50,150,NULL
86,"2023-11-08 00:00:00",CUST086,Male,19,Beauty,3,30,90,NULL
87,"2023-11-22 00:00:00",CUST087,Female,28,Beauty,2,50,100,NULL
88,"2023-03-29 00:00:00",CUST088,Male,56,Clothing,1,500,500,NULL
89,"2023-10-01 00:00:00",CUST089,Female,55,Electronics,4,500,2000,NULL
90,"2023-05-06 00:00:00",CUST090,Female,51,Electronics,1,30,30,NULL
91,"2023-03-25 00:00:00",CUST091,Female,55,Electronics,1,500,500,NULL
92,"2023-08-25 00:00:00",CUST092,Female,51,Electronics,4,30,120,NULL
93,"2023-07-14 00:00:00",CUST093,Female,35,Beauty,4,500,2000,NULL
94,"2023-05-19 00:00:00",CUST094,Female,47,Beauty,2,500,1000,NULL
95,"2023-11-24 00:00:00",CUST095,Female,32,Clothing,2,30,60,NULL
96,"2023-12-19 00:00:00",CUST096,Female,44,Clothing,2,300,600,NULL
97,"2023-10-13 00:00:00",CUST097,Female,51,Beauty,2,500,1000,NULL
98,"2023-04-23 00:00:00",CUST098,Female,55,Beauty,2,50,100,NULL
99,"2023-12-17 00:00:00",CUST099,Female,50,Electronics,4,300,1200,NULL
100,"2023-06-16 00:00:00",CUST100,Male,41,Electronics,1,30,30,NULL
101,"2023-01-29 00:00:00",CUST101,Male,32,Clothing,2,300,600,NULL
102,"2023-04-28 00:00:00",CUST102,Female,47,Beauty,2,25,50,NULL
103,"2023-01-17 00:00:00",CUST103,Female,59,Clothing,1,25,25,NULL
104,"2023-06-11 00:00:00",CUST104,Female,34,Beauty,2,500,1000,NULL
105,"2023-07-25 00:00:00",CUST105,Female,22,Electronics,1,500,500,NULL
106,"2023-05-18 00:00:00",CUST106,Female,46,Clothing,1,50,50,NULL
107,"2023-02-03 00:00:00",CUST107,Female,21,Clothing,4,300,1200,NULL
108,"2023-04-19 00:00:00",CUST108,Female,27,Beauty,3,25,75,NULL
109,"2023-10-18 00:00:00",CUST109,Female,34,Electronics,4,500,2000,NULL
110,"2023-06-11 00:00:00",CUST110,Male,27,Clothing,3,300,900,NULL
111,"2023-04-19 00:00:00",CUST111,Female,34,Electronics,3,500,1500,NULL
112,"2023-12-02 00:00:00",CUST112,Male,37,Clothing,3,500,1500,NULL
113,"2023-09-13 00:00:00",CUST113,Female,41,Electronics,2,25,50,NULL
114,"2023-07-22 00:00:00",CUST114,Female,22,Beauty,4,25,100,NULL
115,"2023-11-26 00:00:00",CUST115,Male,51,Clothing,3,500,1500,NULL
116,"2023-08-23 00:00:00",CUST116,Female,23,Clothing,1,30,30,NULL
117,"2023-03-15 00:00:00",CUST117,Male,19,Electronics,2,500,1000,NULL
118,"2023-05-16 00:00:00",CUST118,Female,30,Electronics,4,500,2000,NULL
119,"2023-03-13 00:00:00",CUST119,Female,60,Clothing,3,50,150,NULL
120,"2023-05-07 00:00:00",CUST120,Male,60,Beauty,1,50,50,NULL
121,"2023-10-15 00:00:00",CUST121,Female,28,Electronics,4,50,200,NULL
122,"2023-10-03 00:00:00",CUST122,Male,64,Electronics,4,30,120,NULL
123,"2023-05-15 00:00:00",CUST123,Female,40,Electronics,2,30,60,NULL
124,"2023-10-27 00:00:00",CUST124,Male,33,Clothing,4,500,2000,NULL
125,"2023-08-08 00:00:00",CUST125,Male,48,Clothing,2,50,100,NULL
126,"2023-10-26 00:00:00",CUST126,Female,28,Clothing,3,30,90,NULL
127,"2023-07-24 00:00:00",CUST127,Female,33,Clothing,2,25,50,NULL
128,"2023-07-05 00:00:00",CUST128,Male,25,Beauty,1,500,500,NULL
129,"2023-04-23 00:00:00",CUST129,Female,21,Beauty,2,300,600,NULL
130,"2023-03-12 00:00:00",CUST130,Female,57,Clothing,1,500,500,NULL
131,"2023-09-18 00:00:00",CUST131,Female,21,Beauty,2,300,600,NULL
132,"2023-09-10 00:00:00",CUST132,Male,42,Electronics,4,50,200,NULL
133,"2023-02-16 00:00:00",CUST133,Male,20,Electronics,3,300,900,NULL
134,"2023-01-25 00:00:00",CUST134,Male,49,Electronics,1,50,50,NULL
135,"2023-02-26 00:00:00",CUST135,Male,20,Clothing,2,25,50,NULL
136,"2023-03-20 00:00:00",CUST136,Male,44,Electronics,2,300,600,NULL
137,"2023-11-18 00:00:00",CUST137,Male,46,Beauty,2,500,1000,NULL
138,"2023-03-23 00:00:00",CUST138,Male,49,Clothing,4,50,200,NULL
139,"2023-12-15 00:00:00",CUST139,Male,36,Beauty,4,500,2000,NULL
140,"2023-08-05 00:00:00",CUST140,Male,38,Electronics,1,30,30,NULL
141,"2023-11-02 00:00:00",CUST141,Female,22,Electronics,1,50,50,NULL
142,"2023-02-02 00:00:00",CUST142,Male,35,Electronics,4,300,1200,NULL
143,"2023-07-17 00:00:00",CUST143,Female,45,Clothing,1,50,50,NULL
144,"2023-07-15 00:00:00",CUST144,Female,59,Beauty,3,500,1500,NULL
145,"2023-11-02 00:00:00",CUST145,Female,39,Clothing,3,25,75,NULL
146,"2023-08-28 00:00:00",CUST146,Male,38,Clothing,4,50,200,NULL
147,"2023-09-28 00:00:00",CUST147,Male,23,Electronics,1,300,300,NULL
148,"2023-05-09 00:00:00",CUST148,Male,18,Clothing,2,30,60,NULL
149,"2023-10-11 00:00:00",CUST149,Male,22,Clothing,3,25,75,NULL
150,"2023-01-06 00:00:00",CUST150,Female,58,Electronics,4,30,120,NULL
151,"2023-12-15 00:00:00",CUST151,Male,29,Clothing,1,50,50,NULL
152,"2023-02-28 00:00:00",CUST152,Male,43,Electronics,4,500,2000,NULL
153,"2023-12-16 00:00:00",CUST153,Male,63,Electronics,2,500,1000,NULL
154,"2023-10-02 00:00:00",CUST154,Male,51,Electronics,3,300,900,NULL
155,"2023-05-17 00:00:00",CUST155,Male,31,Electronics,4,500,2000,NULL
156,"2023-11-25 00:00:00",CUST156,Female,43,Clothing,4,25,100,NULL
157,"2023-06-24 00:00:00",CUST157,Male,62,Electronics,4,500,2000,NULL
158,"2023-02-27 00:00:00",CUST158,Female,44,Electronics,2,300,600,NULL
159,"2023-05-31 00:00:00",CUST159,Male,26,Clothing,4,50,200,NULL
160,"2023-08-11 00:00:00",CUST160,Female,43,Clothing,2,50,100,NULL
161,"2023-03-22 00:00:00",CUST161,Male,64,Beauty,2,500,1000,NULL
162,"2023-08-21 00:00:00",CUST162,Male,39,Clothing,2,30,60,NULL
163,"2023-01-02 00:00:00",CUST163,Female,64,Clothing,3,50,150,NULL
164,"2023-05-15 00:00:00",CUST164,Female,47,Beauty,3,500,1500,NULL
165,"2023-09-14 00:00:00",CUST165,Female,60,Clothing,4,300,1200,NULL
166,"2023-04-02 00:00:00",CUST166,Male,34,Clothing,4,500,2000,NULL
167,"2023-09-17 00:00:00",CUST167,Female,43,Clothing,3,50,150,NULL
168,"2023-02-24 00:00:00",CUST168,Male,53,Clothing,1,300,300,NULL
169,"2023-11-17 00:00:00",CUST169,Male,18,Beauty,3,500,1500,NULL
170,"2023-06-02 00:00:00",CUST170,Female,25,Clothing,2,25,50,NULL
171,"2023-11-24 00:00:00",CUST171,Female,52,Clothing,3,300,900,NULL
172,"2023-09-17 00:00:00",CUST172,Male,32,Beauty,2,25,50,NULL
173,"2023-11-08 00:00:00",CUST173,Male,64,Electronics,4,30,120,NULL
174,"2023-04-12 00:00:00",CUST174,Female,39,Beauty,1,300,300,NULL
175,"2023-03-20 00:00:00",CUST175,Female,31,Electronics,4,25,100,NULL
176,"2023-07-11 00:00:00",CUST176,Female,43,Beauty,2,50,100,NULL
177,"2023-03-24 00:00:00",CUST177,Male,45,Beauty,2,50,100,NULL
178,"2023-10-04 00:00:00",CUST178,Male,40,Clothing,2,30,60,NULL
179,"2023-09-29 00:00:00",CUST179,Male,31,Electronics,1,300,300,NULL
180,"2023-01-01 00:00:00",CUST180,Male,41,Clothing,3,300,900,NULL
181,"2023-11-03 00:00:00",CUST181,Male,19,Electronics,4,300,1200,NULL
182,"2023-06-15 00:00:00",CUST182,Male,62,Beauty,4,30,120,NULL
183,"2023-09-08 00:00:00",CUST183,Female,43,Beauty,3,300,900,NULL
184,"2023-01-10 00:00:00",CUST184,Male,31,Electronics,4,50,200,NULL
185,"2023-02-27 00:00:00",CUST185,Male,24,Clothing,1,25,25,NULL
186,"2023-07-05 00:00:00",CUST186,Male,20,Clothing,4,50,200,NULL
187,"2023-06-07 00:00:00",CUST187,Female,64,Clothing,2,50,100,NULL
188,"2023-05-03 00:00:00",CUST188,Male,40,Clothing,3,25,75,NULL
189,"2023-01-30 00:00:00",CUST189,Male,63,Beauty,1,50,50,NULL
190,"2023-05-04 00:00:00",CUST190,Female,60,Beauty,3,30,90,NULL
191,"2023-10-18 00:00:00",CUST191,Male,64,Beauty,1,25,25,NULL
192,"2023-02-10 00:00:00",CUST192,Male,62,Beauty,2,50,100,NULL
193,"2023-02-13 00:00:00",CUST193,Male,35,Beauty,3,500,1500,NULL
194,"2023-09-06 00:00:00",CUST194,Male,55,Clothing,4,50,200,NULL
195,"2023-02-05 00:00:00",CUST195,Male,52,Clothing,1,30,30,NULL
196,"2023-09-30 00:00:00",CUST196,Female,32,Clothing,3,300,900,NULL
197,"2023-03-06 00:00:00",CUST197,Female,42,Clothing,4,50,200,NULL
198,"2023-03-07 00:00:00",CUST198,Female,54,Beauty,3,300,900,NULL
199,"2023-12-04 00:00:00",CUST199,Male,45,Beauty,3,500,1500,NULL
200,"2023-09-01 00:00:00",CUST200,Male,27,Beauty,3,50,150,NULL
201,"2023-10-09 00:00:00",CUST201,Male,56,Electronics,1,25,25,NULL
202,"2023-03-26 00:00:00",CUST202,Female,34,Clothing,4,300,1200,NULL
203,"2023-05-16 00:00:00",CUST203,Male,56,Clothing,2,500,1000,NULL
204,"2023-09-28 00:00:00",CUST204,Male,39,Beauty,1,25,25,NULL
205,"2023-11-07 00:00:00",CUST205,Female,43,Clothing,1,25,25,NULL
206,"2023-08-05 00:00:00",CUST206,Male,61,Clothing,1,25,25,NULL
207,"2023-04-19 00:00:00",CUST207,Female,42,Beauty,2,25,50,NULL
208,"2023-10-04 00:00:00",CUST208,Female,34,Electronics,4,50,200,NULL
209,"2023-12-20 00:00:00",CUST209,Female,30,Electronics,4,50,200,NULL
210,"2023-04-13 00:00:00",CUST210,Male,37,Electronics,4,50,200,NULL
211,"2024-01-01 00:00:00",CUST211,Male,42,Beauty,3,500,1500,NULL
212,"2023-06-09 00:00:00",CUST212,Male,21,Clothing,3,500,1500,NULL
213,"2023-07-24 00:00:00",CUST213,Male,27,Beauty,3,500,1500,NULL
214,"2023-12-10 00:00:00",CUST214,Male,20,Beauty,2,30,60,NULL
215,"2023-11-29 00:00:00",CUST215,Male,58,Clothing,3,500,1500,NULL
216,"2023-07-11 00:00:00",CUST216,Male,62,Electronics,2,50,100,NULL
217,"2023-08-13 00:00:00",CUST217,Female,35,Electronics,4,50,200,NULL
218,"2023-09-22 00:00:00",CUST218,Male,64,Beauty,3,30,90,NULL
219,"2023-08-20 00:00:00",CUST219,Female,53,Electronics,3,30,90,NULL
220,"2023-03-03 00:00:00",CUST220,Male,64,Beauty,1,500,500,NULL
221,"2023-05-07 00:00:00",CUST221,Male,39,Beauty,2,300,600,NULL
222,"2023-04-26 00:00:00",CUST222,Male,51,Clothing,4,30,120,NULL
223,"2023-02-02 00:00:00",CUST223,Female,64,Clothing,1,25,25,NULL
224,"2023-06-23 00:00:00",CUST224,Female,25,Clothing,1,50,50,NULL
225,"2023-01-11 00:00:00",CUST225,Female,57,Beauty,4,25,100,NULL
226,"2023-10-29 00:00:00",CUST226,Female,61,Clothing,1,50,50,NULL
227,"2023-10-11 00:00:00",CUST227,Male,36,Electronics,2,50,100,NULL
228,"2023-04-28 00:00:00",CUST228,Female,59,Electronics,2,30,60,NULL
229,"2023-10-29 00:00:00",CUST229,Male,58,Beauty,3,30,90,NULL
230,"2023-04-23 00:00:00",CUST230,Male,54,Beauty,1,25,25,NULL
231,"2023-01-04 00:00:00",CUST231,Female,23,Clothing,3,50,150,NULL
232,"2023-02-06 00:00:00",CUST232,Female,43,Beauty,1,25,25,NULL
233,"2023-12-29 00:00:00",CUST233,Female,51,Beauty,2,300,600,NULL
234,"2023-11-20 00:00:00",CUST234,Female,62,Electronics,2,25,50,NULL
235,"2023-01-31 00:00:00",CUST235,Female,23,Electronics,2,500,1000,NULL
236,"2023-04-28 00:00:00",CUST236,Female,54,Clothing,1,25,25,NULL
237,"2023-02-04 00:00:00",CUST237,Female,50,Beauty,2,500,1000,NULL
238,"2023-01-17 00:00:00",CUST238,Female,39,Beauty,1,500,500,NULL
239,"2023-06-19 00:00:00",CUST239,Male,38,Electronics,3,500,1500,NULL
240,"2023-02-06 00:00:00",CUST240,Female,23,Beauty,1,300,300,NULL
241,"2023-09-21 00:00:00",CUST241,Female,23,Electronics,3,25,75,NULL
242,"2023-05-02 00:00:00",CUST242,Male,21,Clothing,1,25,25,NULL
243,"2023-05-23 00:00:00",CUST243,Female,47,Electronics,3,300,900,NULL
244,"2023-12-09 00:00:00",CUST244,Male,28,Beauty,2,50,100,NULL
245,"2023-09-06 00:00:00",CUST245,Male,47,Clothing,3,30,90,NULL
246,"2023-04-20 00:00:00",CUST246,Female,48,Electronics,2,25,50,NULL
247,"2023-10-04 00:00:00",CUST247,Male,41,Electronics,2,30,60,NULL
248,"2023-03-09 00:00:00",CUST248,Male,26,Clothing,3,300,900,NULL
249,"2023-10-20 00:00:00",CUST249,Male,20,Clothing,1,50,50,NULL
250,"2023-10-23 00:00:00",CUST250,Male,48,Electronics,1,50,50,NULL
